Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	September
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	0
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		0.63		0.0		0.49
07:00		54.9		18.39		28.71
08:00		166.05		80.91		66.57
09:00		292.28		160.31		101.94
10:00		377.68		215.27		124.83
11:00		423.78		239.54		142.26
12:00		430.61		237.7		149.76
13:00		419.87		233.1		144.8
14:00		380.77		209.86		132.58
15:00		292.91		155.88		106.86
16:00		208.3		98.23		87.14
17:00		114.74		49.01		51.86
18:00		15.13		1.01		11.07
19:00		0.01		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2023